,Bleaching,Threshold,num_bits_addr,accuracy
0,True,10,1,0.19
1,True,15,1,0.19
2,True,20,1,0.18
3,True,25,1,0.18
4,True,30,1,0.18
5,True,35,1,0.18
6,True,40,1,0.18
7,True,45,1,0.18
8,True,50,1,0.18
9,True,55,1,0.18
10,True,60,1,0.18
11,True,65,1,0.17
12,True,70,1,0.17
13,True,75,1,0.17
14,True,80,1,0.17
15,True,85,1,0.17
16,True,90,1,0.17
17,True,95,1,0.17
18,True,100,1,0.16
19,True,105,1,0.16
20,True,110,1,0.16
21,True,115,1,0.16
22,True,120,1,0.16
23,True,125,1,0.16
24,True,130,1,0.16
25,True,135,1,0.16
26,True,140,1,0.15
27,True,145,1,0.15
28,True,10,2,0.36
29,True,15,2,0.37
30,True,20,2,0.36
31,True,25,2,0.34
32,True,30,2,0.33
33,True,35,2,0.33
34,True,40,2,0.32
35,True,45,2,0.31
36,True,50,2,0.31
37,True,55,2,0.31
38,True,60,2,0.31
39,True,65,2,0.31
40,True,70,2,0.3
41,True,75,2,0.3
42,True,80,2,0.29
43,True,85,2,0.3
44,True,90,2,0.29
45,True,95,2,0.26
46,True,100,2,0.25
47,True,105,2,0.26
48,True,110,2,0.26
49,True,115,2,0.26
50,True,120,2,0.27
51,True,125,2,0.26
52,True,130,2,0.26
53,True,135,2,0.23
54,True,140,2,0.23
55,True,145,2,0.24
56,True,10,3,0.52
57,True,15,3,0.53
58,True,20,3,0.53
59,True,25,3,0.5
60,True,30,3,0.5
61,True,35,3,0.48
62,True,40,3,0.48
63,True,45,3,0.48
64,True,50,3,0.47
65,True,55,3,0.47
66,True,60,3,0.47
67,True,65,3,0.46
68,True,70,3,0.46
69,True,75,3,0.46
70,True,80,3,0.46
71,True,85,3,0.44
72,True,90,3,0.43
73,True,95,3,0.43
74,True,100,3,0.45
75,True,105,3,0.43
76,True,110,3,0.4
77,True,115,3,0.41
78,True,120,3,0.39
79,True,125,3,0.37
80,True,130,3,0.37
81,True,135,3,0.36
82,True,140,3,0.37
83,True,145,3,0.34
84,True,10,4,0.63
85,True,15,4,0.66
86,True,20,4,0.61
87,True,25,4,0.61
88,True,30,4,0.57
89,True,35,4,0.51
90,True,40,4,0.53
91,True,45,4,0.53
92,True,50,4,0.53
93,True,55,4,0.54
94,True,60,4,0.55
95,True,65,4,0.54
96,True,70,4,0.51
97,True,75,4,0.52
98,True,80,4,0.52
99,True,85,4,0.51
100,True,90,4,0.52
101,True,95,4,0.52
102,True,100,4,0.5
103,True,105,4,0.5
104,True,110,4,0.49
105,True,115,4,0.51
106,True,120,4,0.49
