,Bleaching,Threshold,num_bits_addr,accuracy
0,False,10,1,0.14
1,False,15,1,0.14
2,False,20,1,0.14
3,False,25,1,0.14
4,False,30,1,0.14
5,False,35,1,0.14
6,False,40,1,0.14
7,False,45,1,0.14
8,False,50,1,0.14
9,False,55,1,0.14
10,False,60,1,0.14
11,False,65,1,0.14
12,False,70,1,0.14
13,False,75,1,0.14
14,False,80,1,0.14
15,False,85,1,0.14
16,False,90,1,0.14
17,False,95,1,0.14
18,False,100,1,0.14
19,False,105,1,0.14
20,False,110,1,0.14
21,False,115,1,0.14
22,False,120,1,0.14
23,False,125,1,0.14
24,False,130,1,0.14
25,False,135,1,0.14
26,False,140,1,0.14
27,False,145,1,0.14
28,False,10,2,0.3
29,False,15,2,0.32
30,False,20,2,0.3
31,False,25,2,0.3
32,False,30,2,0.3
33,False,35,2,0.28
34,False,40,2,0.28
35,False,45,2,0.27
36,False,50,2,0.27
37,False,55,2,0.26
38,False,60,2,0.26
39,False,65,2,0.25
40,False,70,2,0.24
41,False,75,2,0.24
42,False,80,2,0.24
43,False,85,2,0.24
44,False,90,2,0.24
45,False,95,2,0.23
46,False,100,2,0.23
47,False,105,2,0.23
48,False,110,2,0.23
49,False,115,2,0.23
50,False,120,2,0.22
51,False,125,2,0.22
52,False,130,2,0.21
53,False,135,2,0.2
54,False,140,2,0.19
55,False,145,2,0.18
56,False,10,3,0.44
57,False,15,3,0.46
58,False,20,3,0.44
59,False,25,3,0.44
60,False,30,3,0.45
61,False,35,3,0.44
62,False,40,3,0.44
63,False,45,3,0.43
64,False,50,3,0.43
65,False,55,3,0.41
66,False,60,3,0.4
67,False,65,3,0.4
68,False,70,3,0.39
69,False,75,3,0.39
70,False,80,3,0.39
71,False,85,3,0.38
72,False,90,3,0.37
73,False,95,3,0.36
74,False,100,3,0.34
75,False,105,3,0.34
76,False,110,3,0.34
77,False,115,3,0.31
78,False,120,3,0.29
79,False,125,3,0.29
80,False,130,3,0.28
81,False,135,3,0.27
82,False,140,3,0.27
83,False,145,3,0.27
84,False,10,4,0.48
85,False,15,4,0.49
86,False,20,4,0.5
87,False,25,4,0.51
88,False,30,4,0.52
89,False,35,4,0.51
90,False,40,4,0.5
91,False,45,4,0.49
92,False,50,4,0.49
93,False,55,4,0.49
94,False,60,4,0.47
95,False,65,4,0.45
96,False,70,4,0.44
97,False,75,4,0.44
98,False,80,4,0.44
99,False,85,4,0.44
100,False,90,4,0.42
101,False,95,4,0.43
102,False,100,4,0.41
103,False,105,4,0.4
104,False,110,4,0.39
105,False,115,4,0.41
106,False,120,4,0.42
107,False,125,4,0.4
108,False,130,4,0.39
109,False,135,4,0.38
110,False,140,4,0.39
111,False,145,4,0.36
112,False,10,5,0.51
113,False,15,5,0.53
114,False,20,5,0.53
115,False,25,5,0.52
116,False,30,5,0.54
117,False,35,5,0.54
118,False,40,5,0.52
119,False,45,5,0.52
120,False,50,5,0.51
121,False,55,5,0.5
122,False,60,5,0.5
123,False,65,5,0.49
124,False,70,5,0.46
125,False,75,5,0.45
126,False,80,5,0.45
127,False,85,5,0.45
128,False,90,5,0.45
129,False,95,5,0.43
130,False,100,5,0.43
131,False,105,5,0.41
132,False,110,5,0.41
133,False,115,5,0.41
134,False,120,5,0.41
135,False,125,5,0.41
136,False,130,5,0.41
137,False,135,5,0.4
138,False,140,5,0.37
139,False,145,5,0.37
140,False,10,6,0.53
141,False,15,6,0.55
142,False,20,6,0.55
143,False,25,6,0.56
144,False,30,6,0.54
145,False,35,6,0.54
146,False,40,6,0.52
147,False,45,6,0.54
148,False,50,6,0.52
149,False,55,6,0.51
150,False,60,6,0.51
151,False,65,6,0.51
152,False,70,6,0.5
153,False,75,6,0.51
154,False,80,6,0.51
155,False,85,6,0.51
156,False,90,6,0.5
157,False,95,6,0.51
158,False,100,6,0.49
159,False,105,6,0.48
160,False,110,6,0.46
161,False,115,6,0.45
162,False,120,6,0.44
163,False,125,6,0.45
164,False,130,6,0.44
165,False,135,6,0.45
166,False,140,6,0.44
167,False,145,6,0.44
168,False,10,7,0.54
169,False,15,7,0.6
170,False,20,7,0.6
171,False,25,7,0.6
172,False,30,7,0.59
173,False,35,7,0.59
174,False,40,7,0.59
175,False,45,7,0.58
176,False,50,7,0.58
177,False,55,7,0.56
178,False,60,7,0.55
179,False,65,7,0.55
180,False,70,7,0.55
181,False,75,7,0.55
182,False,80,7,0.53
183,False,85,7,0.53
184,False,90,7,0.53
185,False,95,7,0.53
186,False,100,7,0.52
187,False,105,7,0.51
188,False,110,7,0.5
189,False,115,7,0.49
190,False,120,7,0.49
191,False,125,7,0.48
192,False,130,7,0.47
193,False,135,7,0.45
194,False,140,7,0.45
195,False,145,7,0.44
196,False,10,8,0.55
197,False,15,8,0.59
198,False,20,8,0.6
199,False,25,8,0.61
200,False,30,8,0.61
201,False,35,8,0.6
202,False,40,8,0.6
203,False,45,8,0.6
204,False,50,8,0.59
205,False,55,8,0.59
206,False,60,8,0.57
207,False,65,8,0.58
208,False,70,8,0.56
209,False,75,8,0.54
210,False,80,8,0.53
211,False,85,8,0.53
212,False,90,8,0.52
213,False,95,8,0.51
214,False,100,8,0.52
215,False,105,8,0.51
216,False,110,8,0.5
217,False,115,8,0.49
218,False,120,8,0.48
219,False,125,8,0.47
220,False,130,8,0.46
221,False,135,8,0.46
222,False,140,8,0.46
223,False,145,8,0.46
224,False,10,9,0.54
225,False,15,9,0.61
226,False,20,9,0.62
227,False,25,9,0.61
228,False,30,9,0.61
229,False,35,9,0.62
230,False,40,9,0.62
231,False,45,9,0.61
232,False,50,9,0.61
233,False,55,9,0.61
234,False,60,9,0.6
235,False,65,9,0.6
236,False,70,9,0.58
237,False,75,9,0.56
238,False,80,9,0.58
239,False,85,9,0.57
240,False,90,9,0.56
241,False,95,9,0.56
242,False,100,9,0.54
243,False,105,9,0.55
244,False,110,9,0.54
245,False,115,9,0.53
246,False,120,9,0.53
247,False,125,9,0.51
248,False,130,9,0.49
249,False,135,9,0.49
250,False,140,9,0.46
251,False,145,9,0.45
252,False,10,10,0.57
253,False,15,10,0.6
254,False,20,10,0.6
255,False,25,10,0.6
256,False,30,10,0.6
257,False,35,10,0.61
258,False,40,10,0.61
259,False,45,10,0.61
260,False,50,10,0.6
261,False,55,10,0.6
262,False,60,10,0.57
263,False,65,10,0.59
264,False,70,10,0.55
265,False,75,10,0.54
266,False,80,10,0.54
267,False,85,10,0.53
268,False,90,10,0.53
269,False,95,10,0.53
270,False,100,10,0.52
271,False,105,10,0.52
272,False,110,10,0.5
273,False,115,10,0.5
274,False,120,10,0.47
275,False,125,10,0.48
276,False,130,10,0.46
277,False,135,10,0.46
278,False,140,10,0.46
279,False,145,10,0.46
280,False,10,11,0.57
281,False,15,11,0.62
282,False,20,11,0.63
283,False,25,11,0.64
284,False,30,11,0.62
285,False,35,11,0.62
286,False,40,11,0.62
287,False,45,11,0.62
288,False,50,11,0.61
289,False,55,11,0.61
290,False,60,11,0.58
291,False,65,11,0.57
292,False,70,11,0.57
293,False,75,11,0.57
294,False,80,11,0.56
295,False,85,11,0.52
296,False,90,11,0.52
297,False,95,11,0.51
298,False,100,11,0.51
299,False,105,11,0.51
300,False,110,11,0.48
301,False,115,11,0.48
302,False,120,11,0.49
303,False,125,11,0.49
304,False,130,11,0.46
305,False,135,11,0.47
306,False,140,11,0.47
307,False,145,11,0.45
308,False,10,12,0.6
309,False,15,12,0.6
310,False,20,12,0.61
311,False,25,12,0.63
312,False,30,12,0.63
313,False,35,12,0.64
314,False,40,12,0.61
315,False,45,12,0.61
316,False,50,12,0.61
317,False,55,12,0.58
318,False,60,12,0.58
319,False,65,12,0.58
320,False,70,12,0.6
321,False,75,12,0.59
322,False,80,12,0.58
323,False,85,12,0.59
324,False,90,12,0.58
325,False,95,12,0.57
326,False,100,12,0.56
327,False,105,12,0.56
328,False,110,12,0.54
329,False,115,12,0.52
330,False,120,12,0.51
331,False,125,12,0.51
332,False,130,12,0.49
333,False,135,12,0.51
334,False,140,12,0.5
335,False,145,12,0.5
336,False,10,13,0.59
337,False,15,13,0.61
338,False,20,13,0.62
339,False,25,13,0.61
340,False,30,13,0.59
341,False,35,13,0.61
